SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/C:/Users/p70074073/.m2/repository/ch/qos/logback/logback-classic/1.2.6/logback-classic-1.2.6.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/C:/Users/p70074073/.m2/repository/org/slf4j/slf4j-reload4j/1.7.36/slf4j-reload4j-1.7.36.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/C:/Users/p70074073/.m2/repository/org/slf4j/slf4j-log4j12/1.7.32/slf4j-log4j12-1.7.32.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways hybrid model:true; 0.8109131705729167; 0.7032365520833334; 0.7230257291666667; 0.7225794674479167; 0.7789589453125; 0.7756560751117829; 126682; 79481; 184027; 203023
Asia automatic threeways hybrid model:true; 0.9960632564999999; 0.9286956942; 0.9051140883000001; 0.9050112686; 0.9951938839999999; 0.9997037990484383; 105530; 80131; 138982; 226249
Autism automatic threeways hybrid model:true; 0.902839078125; 0.803617265625; 0.8008249687500001; 0.8111086818181817; 0.8487234659090909; 0.8466820274185984; 959309; 355955; 2702502; 9253331
Iris automatic threeways hybrid model:true; 0.9388631999999999; 0.8928298866666667; 0.8870532599999998; 0.8872999000000001; 0.8828332666666667; 0.771043381505345; 373319; 193388; 562905; 664557
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways unknown hybrid model:true0.05; 0.7549695286458334; 0.6504819830729167; 0.6816361914062499; 0.6842696640624999; 0.7264381119791667; 0.7519941326988699; 208857; 148662; 318822; 398509
Iris automatic threeways unknown hybrid model:true0.05; 0.89222298; 0.8285611466666667; 0.8276077466666667; 0.8846403999999999; 0.7813844014777044; 307687; 235762; 451309; 592629
Asia automatic threeways unknown hybrid model:true0.05; 0.7427901895000001; 0.6915714681999999; 0.6850537309; 0.67935792; 0.744850977; 0.766022342384316; 282728; 181160; 446834; 438502
Autism automatic threeways unknown hybrid model:true0.05; 0.7931442017045454; 0.713939518465909; 0.7211371903409091; 0.7237473522727272; 0.7525381534090908; 0.7774918850513053; 853023; 402702; 2667741; 7475741
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Iris automatic threeways unknown hybrid model:true0.1; 0.78420866; 0.7080403733333334; 0.7266570800000001; 0.7085664666666666; 0.6923312040610338; 402285; 254328; 521414; 838365
Asia automatic threeways unknown hybrid model:true0.1; 0.6231606264; 0.5801942930999999; 0.6103192805; 0.6083960364; 0.6192327750000001; 0.6689687615462968; 406681; 290846; 486535; 473802
Autism automatic threeways unknown hybrid model:true0.1; 0.7396285411931819; 0.6775754048295454; 0.6714732499999999; 0.6644758934659091; 0.6815160511363637; 0.749035443957327; 1220360; 394090; 3551176; 1834889
Name; EnsembleAUC; LeftAUC; RightAUC; CenterAUC; CentralAUC; VertiBayesAUC; EnsembleTime; MinTime; MaxTime; VertiBayesTime
Diabetes automatic threeways unknown hybrid model:true0.3; 0.45645684765624994; 0.40405874348958337; 0.4238601236979167; 0.4228837330729167; 0.4387033854166667; 0.6969059458764735; 223136; 161200; 286357; 351724
Iris automatic threeways unknown hybrid model:true0.3; 0.6533785266666666; 0.5866984066666667; 0.5821368666666666; 0.6726866666666667; 0.7236638429400519; 345274; 218616; 407089; 362973
Iris automatic threeways unknown hybrid model:true0.3; 0.6479639333333334; 0.6460608666666667; 0.5717009333333334; 0.6662612666666667; 0.6280801137349249; 448881; 448881; 448881; 862733
Asia automatic threeways unknown hybrid model:true0.3; 0.4189461027; 0.4068333354; 0.4078108361; 0.40763815589999997; 0.419440517; 0.5671287365097981; 629295; 477254; 849901; 885909
Iris automatic threeways unknown hybrid model:true0.05; 0.8921768; 0.8245506866666666; 0.8341450933333332; 0.8286560933333333; 0.8755125333333335; 0.7361651857778835; 399531; 255990; 522305; 1036055
Iris automatic threeways unknown hybrid model:true0.1; 0.7878218333333333; 0.7601151933333334; 0.71872406; 0.7181572266666667; 0.7127963333333334; 0.7039537199816767; 382316; 272634; 534606; 1050794
Iris automatic threeways unknown hybrid model:true0.3; 0.6528185599999999; 0.6573944266666667; 0.5094108399999999; 0.5104280666666667; 0.6615159999999999; 0.6111986119162178; 267975; 222230; 411830; 675149
