@Relation genericBIFF
@Attribute cap-shape {b,s,c,f,x,k}
@Attribute cap-surface {s,f,g,y}
@Attribute cap-color {p,b,r,c,e,u,w,g,y,n}
@Attribute bruises {t,f}
@Attribute odor {p,a,c,s,f,y,l,m,n}
@Attribute gill-attachment {a,f}
@Attribute gill-spacing {c,w}
@Attribute gill-size {b,n}
@Attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@Attribute stalk-shape {t,e}
@Attribute stalk-root {b,r,c,e}
@Attribute stalk-surface-above-ring {s,f,y,k}
@Attribute stalk-surface-below-ring {s,f,y,k}
@Attribute stalk-color-above-ring {p,b,c,e,w,g,y,n,o}
@Attribute stalk-color-below-ring {p,b,c,e,w,g,y,n,o}
@Attribute veil-type {p}
@Attribute veil-color {w,y,n,o}
@Attribute ring-number {t,n,o}
@Attribute ring-type {p,e,f,l,n}
@Attribute spore-print-color {r,b,u,w,h,y,k,n,o}
@Attribute population {a,s,c,v,y,n}
@Attribute habitat {p,d,u,g,w,l,m}
@Attribute class {p,e}

@DATA
x,s,n,t,p,f,c,n,k,e,e,?,s,w,w,p,w,o,p,k,s,u,p
x,s,y,t,a,f,c,b,k,e,c,s,s,?,w,?,w,?,p,n,n,g,e
b,s,w,t,l,f,c,b,n,?,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,w,t,?,f,c,n,n,e,e,s,s,?,w,?,w,o,p,k,s,u,p
x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,?,n,a,?,e
x,y,y,t,a,f,c,?,n,e,c,s,s,w,w,p,w,o,?,k,n,g,e
b,s,?,t,a,f,c,b,?,e,c,?,s,w,w,p,w,o,p,k,n,m,e
b,y,w,t,l,f,?,b,n,e,c,?,s,w,w,p,w,o,p,n,s,m,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,?,k,v,g,p
b,s,y,t,a,f,c,b,g,e,c,?,s,w,w,p,w,o,p,k,s,m,e
x,y,y,t,l,f,c,b,g,e,c,s,s,?,w,?,w,o,p,n,n,g,e
?,y,y,t,a,f,c,b,?,e,c,s,s,w,w,p,w,o,p,k,s,?,e
b,s,y,t,a,f,c,b,w,e,c,?,s,w,w,p,w,o,?,n,s,?,e
x,?,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
x,f,n,f,?,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
s,f,g,f,?,f,c,n,?,e,e,s,s,w,w,p,w,?,p,?,y,u,e
f,f,w,f,?,f,w,b,?,t,?,s,s,w,w,p,w,o,e,n,a,g,e
x,s,n,t,p,f,c,?,n,e,?,s,s,w,w,p,w,o,p,k,s,g,p
x,y,w,t,p,f,c,n,n,e,e,s,s,w,?,p,w,o,p,n,s,u,p
x,s,n,?,p,?,c,n,k,e,e,s,s,w,w,?,w,?,p,n,?,u,p
b,s,?,t,?,f,c,b,k,e,?,?,s,w,w,p,w,?,?,n,s,m,e
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
b,y,y,t,l,f,c,b,k,e,?,s,s,w,w,p,w,?,p,n,s,?,e
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,?,p,n,n,?,e
b,s,w,?,l,f,c,b,g,?,c,s,s,w,w,p,w,?,p,k,s,m,e
f,s,?,t,p,f,c,n,n,e,e,s,?,w,w,?,w,o,p,n,?,g,p
x,y,y,t,a,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,n,m,e
x,?,w,?,?,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,f,?,f,n,f,c,n,k,?,e,s,s,w,w,p,?,o,p,k,y,u,e
x,s,?,t,?,f,w,n,n,t,b,?,s,w,w,?,?,o,?,n,v,d,?
b,?,y,t,l,?,c,b,g,e,c,s,s,?,w,p,w,?,p,n,n,m,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,?,?,w,?,?,n,?,?,p
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,?,n,m,e
x,y,n,t,l,f,c,b,?,e,r,s,y,w,w,p,w,o,p,n,y,p,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
x,f,y,t,l,?,w,n,w,t,?,s,s,w,?,?,?,o,p,n,v,?,e
?,f,g,f,n,f,c,n,k,e,e,s,s,w,?,p,w,o,p,?,v,u,e
x,y,n,t,p,?,c,n,w,e,e,s,s,w,w,p,w,o,p,?,s,u,p
x,f,?,t,a,f,w,n,p,t,b,s,s,?,w,p,w,o,p,n,v,d,e
b,s,?,t,l,f,c,b,k,e,c,?,s,w,w,p,w,o,p,k,s,m,e
b,y,y,t,a,f,c,b,n,e,c,s,?,w,w,p,w,o,p,n,s,g,e
x,y,y,?,?,?,c,b,n,e,r,s,y,w,w,p,w,o,?,k,y,p,?
x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,?,y,u,?
x,y,w,?,p,?,?,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,y,t,a,f,c,b,?,e,c,s,s,w,w,p,w,o,?,k,n,m,e
?,y,w,t,a,f,c,b,n,e,c,s,s,w,w,?,w,o,p,n,n,g,e
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,?,k,s,m,e
x,s,w,t,l,?,c,b,w,e,c,s,s,w,w,?,w,o,p,n,n,m,?
x,y,y,t,l,f,c,b,?,?,r,s,y,w,w,p,w,o,p,n,s,p,e
f,y,?,t,?,f,c,b,w,e,r,s,?,w,w,p,w,o,p,k,s,p,e
x,y,n,t,a,f,?,b,w,e,?,s,y,w,w,p,w,?,p,k,s,g,e
x,s,?,t,l,f,c,b,k,e,c,s,s,w,w,p,?,o,p,k,s,g,e
b,s,w,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,n,t,?,f,c,n,?,e,e,s,s,w,?,p,w,o,?,n,v,u,p
x,s,w,t,p,f,?,n,?,e,e,s,s,?,w,p,w,o,p,k,v,u,p
b,y,y,t,a,f,c,?,w,e,c,s,s,w,w,p,w,o,p,k,s,?,?
f,f,g,f,?,f,w,?,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,?,e
x,s,y,t,l,f,c,?,k,e,c,s,s,w,w,p,w,o,p,?,n,g,e
x,y,n,t,a,?,c,b,p,e,r,s,?,w,w,p,w,o,p,k,y,p,e
s,?,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,?,n,?,u,e
b,y,y,t,?,f,?,b,?,e,?,s,s,w,w,p,w,o,p,n,s,m,?
b,s,y,t,?,f,c,b,g,e,c,s,s,w,w,?,w,o,p,n,?,m,?
b,y,y,t,l,f,c,b,g,e,c,s,s,w,?,p,w,o,p,n,n,m,e
?,y,w,t,l,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,s,?,?
f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,?,o,e,k,?,g,e
x,s,w,t,l,f,c,b,n,e,c,?,s,w,w,p,w,o,p,k,s,g,e
?,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,?,?,g,e
x,y,y,?,a,f,c,b,w,e,?,s,s,w,w,p,w,o,p,?,n,g,e
x,f,?,f,n,?,c,?,p,e,e,s,s,w,w,p,w,?,p,n,v,?,e
f,?,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,?,n,v,d,e
b,?,w,t,l,?,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
f,f,y,?,l,f,w,n,?,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,y,n,?,a,f,c,b,p,?,?,s,y,w,w,p,w,?,p,k,s,p,e
b,s,y,t,a,?,c,b,?,e,c,s,s,w,w,p,w,o,?,k,s,g,e
f,s,y,t,?,f,w,n,p,t,b,s,s,?,w,p,w,o,p,n,?,d,e
x,s,w,t,l,f,w,n,?,t,b,s,s,?,w,p,w,o,p,u,v,d,e
f,y,n,t,l,f,c,?,p,e,r,s,y,w,w,?,w,o,p,?,y,p,e
x,y,?,t,p,f,c,n,w,e,?,s,s,w,w,?,w,o,p,n,v,u,p
f,y,n,t,a,f,c,b,n,e,?,s,y,w,w,p,w,o,?,n,y,g,e
x,s,n,f,n,f,w,b,k,t,e,f,s,w,?,p,w,o,e,n,s,g,e
x,y,?,t,p,f,c,n,w,e,?,s,s,w,w,p,w,o,p,k,s,g,p
f,f,g,f,n,f,c,?,n,e,e,s,s,w,w,p,w,o,p,n,?,u,e
x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
x,s,n,f,n,f,w,b,k,t,?,s,s,w,w,p,w,o,?,k,s,?,?
b,s,w,t,a,?,c,b,w,e,?,s,s,w,w,p,w,?,p,?,s,g,e
x,s,w,t,l,f,c,b,n,e,?,s,s,w,w,p,?,o,p,n,s,g,e
f,y,n,t,l,f,c,b,?,e,r,s,y,w,w,p,w,o,p,k,y,g,e
s,f,n,f,?,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e
x,f,n,f,n,f,c,n,?,e,e,s,s,w,w,p,w,o,p,n,y,u,e
b,s,w,t,l,f,c,b,k,e,c,s,s,?,w,p,w,o,p,k,s,g,e
x,y,y,t,a,f,c,b,g,e,c,?,s,w,w,p,w,o,p,k,?,g,e
x,?,y,t,l,?,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,?
x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,?,e,n,a,g,e
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
?,y,n,t,l,?,c,b,p,?,r,s,y,w,w,p,w,o,p,n,s,g,e
x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
b,s,w,t,a,f,c,b,g,e,?,?,s,w,w,p,w,o,p,n,s,g,e
