@Relation genericBIFF
@Attribute cap-shape {b,s,c,f,x,k}
@Attribute cap-surface {s,f,g,y}
@Attribute cap-color {p,b,r,c,e,u,w,g,y,n}
@Attribute bruises {t,f}
@Attribute odor {p,a,c,s,f,y,l,m,n}
@Attribute gill-attachment {a,f}
@Attribute gill-spacing {c,w}
@Attribute gill-size {b,n}
@Attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@Attribute stalk-shape {t,e}
@Attribute stalk-root {b,r,c,e}
@Attribute stalk-surface-above-ring {s,f,y,k}
@Attribute stalk-surface-below-ring {s,f,y,k}
@Attribute stalk-color-above-ring {p,b,c,e,w,g,y,n,o}
@Attribute stalk-color-below-ring {p,b,c,e,w,g,y,n,o}
@Attribute veil-type {p}
@Attribute veil-color {w,y,n,o}
@Attribute ring-number {t,n,o}
@Attribute ring-type {p,e,f,l,n}
@Attribute spore-print-color {r,b,u,w,h,y,k,n,o}
@Attribute population {a,s,c,v,y,n}
@Attribute habitat {p,d,u,g,w,l,m}
@Attribute class {p,e}

@DATA
x,s,?,t,p,f,c,n,?,e,e,s,?,w,w,p,w,o,p,?,?,u,p
x,s,y,t,a,?,?,b,?,e,c,s,s,w,w,?,w,?,?,n,?,g,e
b,s,?,?,l,f,c,b,n,?,c,s,s,?,w,p,w,o,p,n,n,?,?
x,y,w,?,?,f,c,n,n,e,?,s,?,w,?,p,w,?,p,k,?,u,p
?,?,?,f,?,f,w,b,k,t,e,s,?,w,w,p,w,?,?,?,?,g,?
x,y,y,t,a,?,c,b,n,e,c,s,s,w,?,p,w,o,p,k,n,g,?
b,s,?,?,a,?,c,?,?,e,?,s,?,w,w,p,?,o,p,k,n,m,e
b,y,w,t,?,?,?,?,n,e,c,s,s,w,w,p,w,?,p,n,?,m,?
x,?,w,t,p,f,?,n,p,e,?,s,s,w,w,p,?,?,p,k,?,g,?
?,s,y,?,a,?,c,b,?,e,c,s,?,w,?,?,w,?,?,k,s,m,?
x,?,y,?,l,f,c,b,g,e,?,s,?,w,w,?,?,?,p,n,n,?,e
x,?,y,t,a,f,c,?,n,e,c,s,?,w,?,?,?,o,?,k,s,m,e
b,s,y,t,a,f,?,?,w,e,c,s,s,w,w,p,?,o,?,?,s,?,e
?,y,w,t,?,f,?,n,k,e,e,s,s,w,w,p,?,?,p,?,?,u,p
x,f,n,f,n,?,w,b,n,t,?,?,f,w,?,p,?,o,e,k,a,?,e
s,?,g,f,n,f,c,n,k,e,e,s,?,w,w,p,w,?,p,n,?,?,e
f,?,w,f,n,f,w,?,k,t,?,s,s,w,w,p,?,?,e,n,a,g,?
x,s,n,t,p,f,c,?,n,e,e,s,s,w,?,p,w,o,p,k,?,g,p
x,?,w,t,?,f,c,n,n,e,e,s,s,w,w,p,w,?,p,n,s,?,p
x,s,n,t,p,f,c,?,?,e,?,?,s,?,w,p,?,o,?,n,s,u,p
b,s,y,t,a,f,c,?,k,?,c,s,?,w,w,p,w,o,p,n,s,m,e
x,?,n,t,p,?,c,n,n,e,e,s,s,?,w,p,w,o,p,?,v,?,?
?,y,?,t,l,f,c,?,k,e,c,s,s,?,w,p,w,?,?,n,s,m,e
b,y,w,t,a,f,?,b,w,e,c,s,s,w,w,p,?,o,p,n,n,m,?
b,s,?,t,l,f,c,b,g,e,c,s,s,w,w,p,w,?,p,k,s,m,e
